
******************** printing table Devices ********************

('pBAD-cI-pOR1-gfp', 'pBAD>+cI+pLAMBDA>+gfp+pCONST>+araC', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pBAD-cI-pOR1-gfp', 'pTAC>+cI+pLAMBDA>+gfp+pCONST>+lacI', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pBAD-cI-pOR1-gfp', 'pLAC>+cI+pLAMBDA>+gfp+pCONST>+lacI', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pTACsym-yfp', 'lacI+pCONST<+pTAC>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pTACsym-McbR-pMcbR-yfp', 'lacI+pCONST<+pTAC>+mcbR+pMCBR>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pTACsym-R73delta-pMcbR-yfp', 'lacI+pCONST<+pTAC>+R73delta+pF>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pSal-yfp', 'nahR+pCONST<+pSAL>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pSal-McbR-pMcbR-yfp', 'nahR+pCONST<+pSAL>+mcbR+pMCBR>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pSal-R73delta-pMcbR-yfp', 'nahR+pCONST<+pSAL>+R73delta+pF>+yfp', '[C Lou et al]', '[Ribozyme-based insulator parts buffer synthetic circuits from genetic context]', '[Nature Biotechnology]', '2012', '[ ]')
('pBAD-rfp', 'araC+pCONST<+pBAD>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pTac-rfp', 'lacI+pCONST<+pTAC>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pLux-rfp', 'luxR+pCONST<+pLUX>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pTet-rfp', 'tetR+pCONST<+pTET>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pTET-invF', 'tetR+pCONST<+pTET>+invF', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pBAD-sicA', 'araC+pCONST<+pBAD>+sicA', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('psicA-rfp', 'psicA>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pTet-mxiE', 'tetR+pCONST<+pTET>+mxiE', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pBAD-ipgC', 'araC+pCONST<+pBAD>+ipgC', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pipaH-rfp', 'pipaH>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pTet-exsDA', 'tetR+pCONST<+pTET>+exsDA', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pLux-exsC', 'luxR+pCONST<+pLUX>+exsC', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pexsC-rfp', 'pexsC>+rfp', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pACPc-invF', 'tetR+pCONST<+pTET>+exsDA+XXX+exsC+pLUX<+pCONST>+luxR+TTT+invF+pexsC<', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')
('pXCPi-sicA', 'ipgC+pBAD<+pCONST>+araC+XXX+pipaH>+sicA+TTT+lacI+pCONST<+pTAC>+mxiE', '[TS Moon et al]', '[Genetic programs constructed from layered logic gates in single cells]', 'Nature', '2012', '[ ]')

******************** END ********************


******************** printing table Transitions ********************

('EMPTY', 'pCONST', '0', '[ ]')
('T7', 'pT7', '0', '[ ]')
('R73delta', 'pF', '0', '[ ]')
('lacI', 'pLAC', '0', '[ ]')
('lacI', 'pTAC', '0', '[ ]')
('tetR', 'pTET', '0', '[ ]')
('cI', 'pLAMBDA', '0', '[ ]')
('lexA', 'pSOS', '0', '[ ]')
('Lara,araC', 'pBAD(+Lara)', '0', '[ ]')
('mcbR', 'pMCBR', '0', '[ ]')
('AHL,luxR', 'pLUX', '0', '[ ]')
('HSL,lasR', 'pLAS', '0', '[ ]')
('C4HSL,rhlR', 'pRHL', '0', '[ ]')
('Sal,nahR', 'pSAL', '0', '[ ]')
('DOX,rtTA', 'TREt', '0', '[ ]')
('Mg2+', 'pmgrB', '0', '[ ]')
('LIGHT', 'pompC', '0', '[ ]')
('hrpR,hrpS', 'phrpL', '0', '[ ]')
('T7-C,T7-N', 'pT7(fragment)', '0', '[ ]')
('sicA,invF', 'psicA', '0', '[ ]')
('ipgC,mxiE', 'pipaH', '0', '[ ]')
('exsC,exsDA', 'pexsC', '0', '[ ]')
('ntrC,lacI', 'glnAp2', '0', '[ ]')
('Lara,araC,lacI', 'pLAC/BAD(+Lara)', '0', '[ ]')
('AHL,luxR,cI', 'pLUX/LAMBDA', '0', '[ ]')
('AHL,luxR,lacI', 'pLUX/LAC', '0', '[ ]')
('cI,lacI', 'pR/LAC', '0', '[ ]')
('lexA,lacI', 'pSOS/LAC', '0', '[ ]')
('Lara,araC,tetR', 'pBADpTET', '0', '[ ]')
('Lara,araC,HSL,lasR', 'pBADpLAS', '0', '[ ]')
('tetR,HSL,lasR', 'pTETpLAS', '0', '[ ]')
('mRNA', 'T7ptag', '0', '[ ]')
('mRNA', 'supD', '0', '[ ]')
('mRNA', 'gfp', '0', '[ ]')
('mRNA', 'yfp', '0', '[ ]')
('mRNA', 'rfp', '0', '[ ]')
('mRNA', 'cfp', '0', '[ ]')
('mRNA', 'lacZ', '0', '[ ]')
('mRNA', 'lacZalpha-ccdB', '0', '[ ]')
('mRNA', 'ntrC', '0', '[ ]')
('mRNA', 'T7', '0', '[ ]')
('mRNA,IPTG', 'lacI(+IPTG)', '0', '[ ]')
('mRNA', 'lacI', '0', '[ ]')
('mRNA,aTc', 'tetR(+aTc)', '0', '[ ]')
('mRNA', 'tetR', '0', '[ ]')
('mRNA', 'cI', '0', '[ ]')
